experiment,model,language_equivalent_to_other_model,completion_rate,deadlock_rate,timeout_rate,num_simulated_variants
axiom4_stochastic_semantics,M_direct_equal_branches,True,1.0,0.0,0.0,4
axiom4_stochastic_semantics,M_direct_equal_branches,True,1.0,0.0,0.0,4
axiom4_stochastic_semantics,M_direct_equal_branches,True,1.0,0.0,0.0,4
axiom4_stochastic_semantics,M_direct_equal_branches,True,1.0,0.0,0.0,4
axiom4_stochastic_semantics,M_direct_equal_branches,True,1.0,0.0,0.0,4
axiom4_stochastic_semantics,M_direct_equal_branches,True,1.0,0.0,0.0,4
axiom4_stochastic_semantics,M_direct_equal_branches,True,1.0,0.0,0.0,4
axiom4_stochastic_semantics,M_direct_equal_branches,True,1.0,0.0,0.0,4
axiom4_stochastic_semantics,M_direct_equal_branches,True,1.0,0.0,0.0,4
axiom4_stochastic_semantics,M_direct_equal_branches,True,1.0,0.0,0.0,4
axiom4_stochastic_semantics,M_direct_equal_branches,True,1.0,0.0,0.0,4
axiom4_stochastic_semantics,M_direct_equal_branches,True,1.0,0.0,0.0,4
axiom4_stochastic_semantics,M_direct_equal_branches,True,1.0,0.0,0.0,4
axiom4_stochastic_semantics,M_tau_unequal_simulation,True,1.0,0.0,0.0,4
axiom4_stochastic_semantics,M_tau_unequal_simulation,True,1.0,0.0,0.0,4
axiom4_stochastic_semantics,M_tau_unequal_simulation,True,1.0,0.0,0.0,4
axiom4_stochastic_semantics,M_tau_unequal_simulation,True,1.0,0.0,0.0,4
axiom4_stochastic_semantics,M_tau_unequal_simulation,True,1.0,0.0,0.0,4
axiom4_stochastic_semantics,M_tau_unequal_simulation,True,1.0,0.0,0.0,4
axiom4_stochastic_semantics,M_tau_unequal_simulation,True,1.0,0.0,0.0,4
axiom4_stochastic_semantics,M_tau_unequal_simulation,True,1.0,0.0,0.0,4
axiom4_stochastic_semantics,M_tau_unequal_simulation,True,1.0,0.0,0.0,4
axiom4_stochastic_semantics,M_tau_unequal_simulation,True,1.0,0.0,0.0,4
axiom4_stochastic_semantics,M_tau_unequal_simulation,True,1.0,0.0,0.0,4
axiom4_stochastic_semantics,M_tau_unequal_simulation,True,1.0,0.0,0.0,4
axiom4_stochastic_semantics,M_tau_unequal_simulation,True,1.0,0.0,0.0,4
